Keyword,Volume,Difficulty,KEI,Rank,Rank Status,Maximum Reach
unicorn head filter,55,12,252.1,Unranked,unranked,5500
unicorn filter,45,10,202.5,Unranked,unranked,4500
tiktok funny face filters,62,18,213.6,Unranked,unranked,6200
tiktok face filters,70,22,222.7,Unranked,unranked,7000
tiktok effects,78,30,202.8,Unranked,unranked,7800
funny face filter,68,20,231.2,Unranked,unranked,6800
funny face filters,72,24,216.0,Unranked,unranked,7200
funny filter,65,15,281.7,Unranked,unranked,6500
funny filters,69,18,264.5,Unranked,unranked,6900
face swap,80,42,152.4,Unranked,unranked,8000
face swap filter,71,25,201.6,Unranked,unranked,7100
face morph,58,15,224.3,Unranked,unranked,5800
face morph filter,52,11,245.8,Unranked,unranked,5200
animal face filter,59,14,248.6,Unranked,unranked,5900
character face filter,50,10,250.0,Unranked,unranked,5000
weird face filters,54,11,265.1,Unranked,unranked,5400
distorted face,48,8,288.0,Unranked,unranked,4800
distorted face filter,46,7,302.3,Unranked,unranked,4600
silly camera effects,42,5,352.8,Unranked,unranked,4200
camera effects,60,22,163.6,Unranked,unranked,6000
face changer,58,16,210.2,Unranked,unranked,5800
face changer app,55,14,216.1,Unranked,unranked,5500
funny face changer,48,8,288.0,Unranked,unranked,4800
funny face viral challenge,40,4,400.0,Unranked,unranked,4000
funny face challenge,44,6,322.7,Unranked,unranked,4400
viral face filters,51,10,260.1,Unranked,unranked,5100
brown horse morph,35,3,408.3,Unranked,unranked,3500
horse morph filter,38,4,361.0,Unranked,unranked,3800
platypus face filter,30,2,450.0,Unranked,unranked,3000
camel face filter,32,2,512.0,Unranked,unranked,3200
rat face filter,36,3,432.0,Unranked,unranked,3600
dragon head filter,34,2,578.0,Unranked,unranked,3400
husky head filter,33,2,544.5,Unranked,unranked,3300
animal morph filter,45,8,253.1,Unranked,unranked,4500
animal head filters,40,5,320.0,Unranked,unranked,4000
funny animal filters,46,8,264.5,Unranked,unranked,4600
snapchat filters,85,50,144.5,Unranked,unranked,8500
snapchat face filters,76,35,165.0,Unranked,unranked,7600
instagram filters,82,48,140.1,Unranked,unranked,8200
faceapp,80,45,142.2,Unranked,unranked,8000
reface,70,32,153.1,Unranked,unranked,7000
facelab,55,18,168.1,Unranked,unranked,5500
time warp scan,64,20,204.8,Unranked,unranked,6400
warp scan filter,58,15,224.3,Unranked,unranked,5800
talking tom cat 2,72,38,136.4,Unranked,unranked,7200
talking tom filters,48,12,192.0,Unranked,unranked,4800
lensa ai,65,25,169.0,Unranked,unranked,6500
free apps,75,40,140.6,Unranked,unranked,7500
funny videos,82,52,129.3,Unranked,unranked,8200
download app,70,35,140.0,Unranked,unranked,7000
best face filter,58,18,186.9,Unranked,unranked,5800
top funny filters,48,10,230.4,Unranked,unranked,4800
free face swap,68,22,210.2,Unranked,unranked,6800
android camera,62,28,137.3,Unranked,unranked,6200
camera app free,68,30,154.1,Unranked,unranked,6800
widget maker,54,18,162.0,Unranked,unranked,5400
custom widgets,58,22,152.9,Unranked,unranked,5800
home screen launcher,60,28,128.6,Unranked,unranked,6000
game emulator,65,30,140.8,Unranked,unranked,6500
prank sounds,68,32,144.5,Unranked,unranked,6800
taser simulator,55,15,201.7,Unranked,unranked,5500
wallpapers hd 4k,74,42,130.4,Unranked,unranked,7400
cute koala wallpaper,50,12,208.3,Unranked,unranked,5000
ringtones free,70,35,140.0,Unranked,unranked,7000
calculator hide app,58,20,168.2,Unranked,unranked,5800
