keyword,detected_language,language_group,semantic_bucket,confidence,english_gloss,decision_rule,reason
zarchiver,pt,PRIMARY,Dropped,1.0,zarchiver,irrelevant_term,"Irrelevant category game, service, or brand term"
zarchiver,en,SECONDARY,Dropped,1.0,archiver,irrelevant_category_or_ip,"Dropped: Irrelevant game, brand, or IP 'zarchiver'"
zarchiver,sk,SECONDARY,Consider Keywords,1.0,zarchiver,consider_keyword,Other relevant term
zarchiver,en,SECONDARY,Consider Keywords,0.85,ZArchiver (file archiver utility for ROMs),ai_consider_intent,"Companion tool, platform utility, or boundary game"
zarchiver,en,SECONDARY,Consider Keywords,0.9,ZArchiver archive utility app,ai_consider,"Archive extraction utility commonly used to unzip ROMs, but not an emulator"
zarchiver,en,SECONDARY,Consider Keywords,0.9,ZArchiver file manager (used to extract ROMs),ai_consider_intent,"Companion app, controller utility, or boundary service"
zarchiver,en,SECONDARY,Consider Keywords,0.85,ZArchiver (file archiver utility for ROMs),ai_consider_intent,"Companion tool, platform utility, or boundary game"
zarchiver,en,SECONDARY,Consider Keywords,0.9,ZArchiver archive utility app,ai_consider,"Archive extraction utility commonly used to unzip ROMs, but not an emulator"
zarchiver,en,SECONDARY,Consider Keywords,0.9,ZArchiver file manager (used to extract ROMs),ai_consider_intent,"Companion app, controller utility, or boundary service"
playstation india,en,SECONDARY,Dropped,1.0,,platform_only,Dropped platform name: playstation
playstation 4 games,en,SECONDARY,Dropped,1.0,,platform_only,Dropped platform name: playstation
playstation now,en,SECONDARY,Dropped,1.0,,platform_only,Dropped platform name: playstation
playstation app,en,SECONDARY,Dropped,1.0,,platform_only,Dropped platform name: playstation
playstation,en,SECONDARY,Dropped,1.0,,platform_only,Dropped platform name: playstation
playstation,pt,PRIMARY,Dropped,1.0,playstation,platform_drop,Platform/hardware name (playstation)
sony playstation,pt,PRIMARY,Dropped,1.0,sony playstation,platform_drop,Platform/hardware name (playstation)
playstation 4,pt,PRIMARY,Dropped,1.0,playstation 4,platform_drop,Platform/hardware name (playstation)
playstation 2,pt,PRIMARY,Dropped,1.0,playstation 2,platform_drop,Platform/hardware name (playstation)
playstation app,pt,PRIMARY,Dropped,1.0,playstation app,platform_drop,Platform/hardware name (playstation)
exbox,en,SECONDARY,Consider Keywords,1.0,,general_consider_fallback,General check / other relevant term
xbox beta,en,SECONDARY,Dropped,1.0,,platform_only,Dropped platform name: xbox
xbox,pt,PRIMARY,Dropped,1.0,xbox,platform_drop,Platform/hardware name (xbox)
xbox controller,en,SECONDARY,Dropped,1.0,xbox controller,platform_drop,Platform/hardware name (xbox)
damon xbox 360,pt,PRIMARY,Dropped,1.0,damon xbox 360,competitor_brand,Competitor brand/emulator (damon)
xbox game pass,en,SECONDARY,Dropped,1.0,xbox game pass,platform_drop,Platform/hardware name (xbox)
xbox,en,SECONDARY,Dropped,1.0,,platform_only,Platform-only keyword without app intent: xbox
xbox cloud gaming,en,SECONDARY,Consider Keywords,1.0,,consider_keyword,Other relevant term
xbox game pass,ca,SECONDARY,Consider Keywords,1.0,xbox game pass,consider_keyword,Other relevant term
ps xbox,ca,SECONDARY,Consider Keywords,1.0,ps xbox,consider_keyword,Other relevant term
