Keyword                                  | Lang  | Group      | Gloss                                    | Bucket                    | Rule                 | Reason
----------------------------------------------------------------------------------------------------------------------------------------------------------------
3ds emulator                             | en    | SECONDARY  | 3ds emulator                             | Consider Keywords         | ai_broad_expansion   | Platform context term (3ds) allowed as consider
4 share apps ppsspp                      | en    | SECONDARY  | 4 share apps PPSSPP                      | Dropped                   | ai_competitor        | Competitor brand or publisher (ppsspp) strictly dropped
80 s arcade games                        | en    | SECONDARY  | 80s arcade games                         | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
aplicativo de jogo ps                    | pt    | PRIMARY    | PS game app                              | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
aplicativo ps remote play                | en    | SECONDARY  | aplicativo ps remote play                | Consider Keywords         | ai_broad_expansion   | Platform context term (ps) allowed as consider
arcade de jogos                          | pt    | PRIMARY    | arcade games                             | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
arcade jogos                             | pt    | PRIMARY    | arcade games                             | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
baixar jogos                             | pt    | PRIMARY    | download games                           | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
boy gba emulator                         | en    | SECONDARY  | boy GBA emulator                         | Feature Keywords          | ai_feature           | Feature: specific emulator console or feature term
cash pirate                              | en    | SECONDARY  | cash pirate                              | Dropped                   | ai_competitor        | Competitor brand or publisher (cash pirate) strictly dropped
confronto de super slugger               | it    | FOREIGN    | super slugger clash                      | Dropped                   | ai_ip_dropped        | Game IP or Character term (slugger) strictly dropped
console                                  | en    | SECONDARY  | console                                  | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
console de jogos retro                   | pt    | PRIMARY    | retro games console                      | Style Keywords            | ai_style             | Style: Retro/nostalgia/classic term
console emulator                         | en    | SECONDARY  | console emulator                         | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
console games                            | en    | SECONDARY  | console games                            | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
console portátil                         | en    | SECONDARY  | console portátil                         | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
console retrô                            | pt    | PRIMARY    | retro console                            | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
consoles                                 | pt    | PRIMARY    | consoles                                 | Broad Expansion           | ai_broad_expansion   | Broad expansion: generic gaming/emulator term
